Pickup Branch,Commune EN,Commune Khmer,Phone,Branch Code,Branch EN,Branch Khmer,Type,Status,Search Text
BANA011,Kampong Svay,Kampong Svay,066824778,BAN,Banteay Meanchey,Banteay Meanchey,Authorized Dealer/ Authorized Agent,In effect,BANA011 | Kampong Svay | Kampong Svay | 066824778 | BAN | Banteay Meanchey | Banteay Meanchey
BANA012,Malai,Malai,0313339007,BAN,Banteay Meanchey,Banteay Meanchey,Authorized Dealer/ Authorized Agent,In effect,BANA012 | Malai | Malai | 0313339007 | BAN | Banteay Meanchey | Banteay Meanchey
BANA013,Thma Puok,Thma Puok,0974331131,BAN,Banteay Meanchey,Banteay Meanchey,Authorized Dealer/ Authorized Agent,In effect,BANA013 | Thma Puok | Thma Puok | 0974331131 | BAN | Banteay Meanchey | Banteay Meanchey
BANA014,Koub,Koub,0973037787,BAN,Banteay Meanchey,Banteay Meanchey,Authorized Dealer/ Authorized Agent,In effect,BANA014 | Koub | Koub | 0973037787 | BAN | Banteay Meanchey | Banteay Meanchey
BANA015,Changha,Changha,068982047,BAN,Banteay Meanchey,Banteay Meanchey,Authorized Dealer/ Authorized Agent,In effect,BANA015 | Changha | Changha | 068982047 | BAN | Banteay Meanchey | Banteay Meanchey
BANA016,Phnum Lieb,Phnum Lieb,0885960140,BAN,Banteay Meanchey,Banteay Meanchey,Authorized Dealer/ Authorized Agent,In effect,BANA016 | Phnum Lieb | Phnum Lieb | 0885960140 | BAN | Banteay Meanchey | Banteay Meanchey
BANA017,Punley,Punley,0975662211,BAN,Banteay Meanchey,Banteay Meanchey,Authorized Dealer/ Authorized Agent,In effect,BANA017 | Punley | Punley | 0975662211 | BAN | Banteay Meanchey | Banteay Meanchey
BANA018,Sla Kram,Sla Kram,0972078889,BAN,Banteay Meanchey,Banteay Meanchey,Authorized Dealer/ Authorized Agent,In effect,BANA018 | Sla Kram | Sla Kram | 0972078889 | BAN | Banteay Meanchey | Banteay Meanchey
BANA020,Banteay Neang,Banteay Neang,067895868,BAN,Banteay Meanchey,Banteay Meanchey,Authorized Dealer/ Authorized Agent,In effect,BANA020 | Banteay Neang | Banteay Neang | 067895868 | BAN | Banteay Meanchey | Banteay Meanchey
BANP001,Serei Saophoan,Serei Saophoan,0316000285,BAN,Banteay Meanchey,Banteay Meanchey,Post office,In effect,BANP001 | Serei Saophoan | Serei Saophoan | 0316000285 | BAN | Banteay Meanchey | Banteay Meanchey
BANS001,Ou Ambel,Ou Ambel,,BAN,Banteay Meanchey,Banteay Meanchey,Post office,In effect,BANS001 | Ou Ambel | Ou Ambel | BAN | Banteay Meanchey | Banteay Meanchey
BANS002,Paoy Paet,Paoy Paet,,BAN,Banteay Meanchey,Banteay Meanchey,Post office,In effect,BANS002 | Paoy Paet | Paoy Paet | BAN | Banteay Meanchey | Banteay Meanchey
BANS003,Thma Puok,Thma Puok,,BAN,Banteay Meanchey,Banteay Meanchey,Post office,In effect,BANS003 | Thma Puok | Thma Puok | BAN | Banteay Meanchey | Banteay Meanchey
BANS004,Srah Chik,Srah Chik,,BAN,Banteay Meanchey,Banteay Meanchey,Post office,In effect,BANS004 | Srah Chik | Srah Chik | BAN | Banteay Meanchey | Banteay Meanchey
BATA001,Chomkar Somraong,Chomkar Somraong,092281838,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA001 | Chomkar Somraong | Chomkar Somraong | 092281838 | BAT | Battambang | Battambang
BATA002,Kampong Prieng,Kampong Prieng,0313804400,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA002 | Kampong Prieng | Kampong Prieng | 0313804400 | BAT | Battambang | Battambang
BATA003,Phnum Sampov,Phnum Sampov,0975055550,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA003 | Phnum Sampov | Phnum Sampov | 0975055550 | BAT | Battambang | Battambang
BATA004,Vaot Ta Muem 01,Vaot Ta Muem 01,0889678999,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA004 | Vaot Ta Muem 01 | Vaot Ta Muem 01 | 0889678999 | BAT | Battambang | Battambang
BATA005,Toul Ta EK,Toul Ta EK,0889977774,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA005 | Toul Ta EK | Toul Ta EK | 0889977774 | BAT | Battambang | Battambang
BATA006,Moung,Moung,0976083766,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA006 | Moung | Moung | 0976083766 | BAT | Battambang | Battambang
BATA007,Snoeng,Snoeng,0888876795,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA007 | Snoeng | Snoeng | 0888876795 | BAT | Battambang | Battambang
BATA008,Vaot Ta Muem 02,Vaot Ta Muem 02,0712700200,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA008 | Vaot Ta Muem 02 | Vaot Ta Muem 02 | 0712700200 | BAT | Battambang | Battambang
BATA010,Santepheap,Santepheap,0719596977,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA010 | Santepheap | Santepheap | 0719596977 | BAT | Battambang | Battambang
BATA011,Boeng Reang,Boeng Reang,067843333,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA011 | Boeng Reang | Boeng Reang | 067843333 | BAT | Battambang | Battambang
BATA012,Bour,Bour,0884477766,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA012 | Bour | Bour | 0884477766 | BAT | Battambang | Battambang
BATA013,Pech Chenda 01,Pech Chenda 01,0977878161,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA013 | Pech Chenda 01 | Pech Chenda 01 | 0977878161 | BAT | Battambang | Battambang
BATA014,Pech Chenda 02,Pech Chenda 02,0977777893,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA014 | Pech Chenda 02 | Pech Chenda 02 | 0977777893 | BAT | Battambang | Battambang
BATA015,Sdok Pravoek,Sdok Pravoek,0716709006,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA015 | Sdok Pravoek | Sdok Pravoek | 0716709006 | BAT | Battambang | Battambang
BATA016,Ta Kream,Ta Kream,0717111122,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA016 | Ta Kream | Ta Kream | 0717111122 | BAT | Battambang | Battambang
BATA017,Ta Sanh,Ta Sanh,0714776666,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA017 | Ta Sanh | Ta Sanh | 0714776666 | BAT | Battambang | Battambang
BATA018,Kampong Lpov,Kampong Lpov,066811551,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA018 | Kampong Lpov | Kampong Lpov | 066811551 | BAT | Battambang | Battambang
BATA019,Traeng,Traeng,0714263333,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA019 | Traeng | Traeng | 0714263333 | BAT | Battambang | Battambang
BATA021,Preaek Chik,Preaek Chik,0719462246,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA021 | Preaek Chik | Preaek Chik | 0719462246 | BAT | Battambang | Battambang
BATA022,Bavel,Bavel,060244232,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA022 | Bavel | Bavel | 060244232 | BAT | Battambang | Battambang
BATA023,Chrey,Chrey,068444789,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA023 | Chrey | Chrey | 068444789 | BAT | Battambang | Battambang
BATA024,Boeng Pring,Boeng Pring,0719066617,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA024 | Boeng Pring | Boeng Pring | 0719066617 | BAT | Battambang | Battambang
BATA025,Ta Pung,Ta Pung,066864423,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA025 | Ta Pung | Ta Pung | 066864423 | BAT | Battambang | Battambang
BATA026,Svay Por,Svay Por,0886888897,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA026 | Svay Por | Svay Por | 0886888897 | BAT | Battambang | Battambang
BATA027,Ou Ta Ki,Ou Ta Ki,0318424242,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA027 | Ou Ta Ki | Ou Ta Ki | 0318424242 | BAT | Battambang | Battambang
BATA028,Ta Sda,Ta Sda,0314157888,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA028 | Ta Sda | Ta Sda | 0314157888 | BAT | Battambang | Battambang
BATA029,Thipakdei,Thipakdei,0979928802,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA029 | Thipakdei | Thipakdei | 0979928802 | BAT | Battambang | Battambang
BATA030,Prey Svay,Prey Svay,0319992324,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA030 | Prey Svay | Prey Svay | 0319992324 | BAT | Battambang | Battambang
BATA032,Sdau,Sdau,0886384445,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA032 | Sdau | Sdau | 0886384445 | BAT | Battambang | Battambang
BATA033,Ampil Pram Daeum,Ampil Pram Daeum,0886666033,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA033 | Ampil Pram Daeum | Ampil Pram Daeum | 0886666033 | BAT | Battambang | Battambang
BATA034,Ou Char,Ou Char,090471804,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA034 | Ou Char | Ou Char | 090471804 | BAT | Battambang | Battambang
BATA035,Anlung Vil,Anlung Vil,0718525353,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA035 | Anlung Vil | Anlung Vil | 0718525353 | BAT | Battambang | Battambang
BATA036,Vaot Ta Muem,Vaot Ta Muem,0889595557,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA036 | Vaot Ta Muem | Vaot Ta Muem | 0889595557 | BAT | Battambang | Battambang
BATA037,Peam Aek,Peam Aek,0973366686,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA037 | Peam Aek | Peam Aek | 0973366686 | BAT | Battambang | Battambang
BATA038,Prey Khpos,Prey Khpos,0979676228,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA038 | Prey Khpos | Prey Khpos | 0979676228 | BAT | Battambang | Battambang
BATA039,Mukh Rea,Mukh Rea,0979655007,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA039 | Mukh Rea | Mukh Rea | 0979655007 | BAT | Battambang | Battambang
BATA040,Thorn Sovannithida,Thorn Sovannithida,0977705535,BAT,Battambang,Battambang,Authorized Dealer/ Authorized Agent,In effect,BATA040 | Thorn Sovannithida | Thorn Sovannithida | 0977705535 | BAT | Battambang | Battambang
BATP001,Battambang,Battambang,0972277127,BAT,Battambang,Battambang,Post office,In effect,BATP001 | Battambang | Battambang | 0972277127 | BAT | Battambang | Battambang
BATS001,Tuol Ta Ek,Tuol Ta Ek,,BAT,Battambang,Battambang,Post office,In effect,BATS001 | Tuol Ta Ek | Tuol Ta Ek | BAT | Battambang | Battambang
BATS002,Ta Pung,Ta Pung,,BAT,Battambang,Battambang,Post office,In effect,BATS002 | Ta Pung | Ta Pung | BAT | Battambang | Battambang
BATS003,Boeng Reang,Boeng Reang,,BAT,Battambang,Battambang,Post office,In effect,BATS003 | Boeng Reang | Boeng Reang | BAT | Battambang | Battambang
BATS004,Santepheap,Santepheap,,BAT,Battambang,Battambang,Post office,In effect,BATS004 | Santepheap | Santepheap | BAT | Battambang | Battambang
BATS005,Sdau,Sdau,,BAT,Battambang,Battambang,Post office,In effect,BATS005 | Sdau | Sdau | BAT | Battambang | Battambang
BATS006,Bavel,Bavel,,BAT,Battambang,Battambang,Post office,In effect,BATS006 | Bavel | Bavel | BAT | Battambang | Battambang
BATS007,Moung,Moung,,BAT,Battambang,Battambang,Post office,In effect,BATS007 | Moung | Moung | BAT | Battambang | Battambang
BATS008,Sdau,Sdau,,BAT,Battambang,Battambang,Post office,In effect,BATS008 | Sdau | Sdau | BAT | Battambang | Battambang
CHAA001,Peam Prathnuoh,Peam Prathnuoh,0888664145,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA001 | Peam Prathnuoh | Peam Prathnuoh | 0888664145 | CHA | Kampong Cham | Kampong Cham
CHAA002,Chrey Vien,Chrey Vien,067665432,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA002 | Chrey Vien | Chrey Vien | 067665432 | CHA | Kampong Cham | Kampong Cham
CHAA003,Kor,Kor,066666642,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA003 | Kor | Kor | 066666642 | CHA | Kampong Cham | Kampong Cham
CHAA004,Sandaek,Sandaek,0886341117,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA004 | Sandaek | Sandaek | 0886341117 | CHA | Kampong Cham | Kampong Cham
CHAA005,Me Sar Chrey,Me Sar Chrey,060373336,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA005 | Me Sar Chrey | Me Sar Chrey | 060373336 | CHA | Kampong Cham | Kampong Cham
CHAA006,Peam Chi Kang,Peam Chi Kang,0979008412,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA006 | Peam Chi Kang | Peam Chi Kang | 0979008412 | CHA | Kampong Cham | Kampong Cham
CHAA007,Ta Prok,Ta Prok,0714862222,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA007 | Ta Prok | Ta Prok | 0714862222 | CHA | Kampong Cham | Kampong Cham
CHAA008,Thma Pun,Thma Pun,0313100028,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA008 | Thma Pun | Thma Pun | 0313100028 | CHA | Kampong Cham | Kampong Cham
CHAA009,Tang Krang,Tang Krang,0716601215,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA009 | Tang Krang | Tang Krang | 0716601215 | CHA | Kampong Cham | Kampong Cham
CHAA010,Bos Khnor,Bos Khnor,0717774841,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA010 | Bos Khnor | Bos Khnor | 0717774841 | CHA | Kampong Cham | Kampong Cham
CHAA011,Lvea,Lvea,0319621863,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA011 | Lvea | Lvea | 0319621863 | CHA | Kampong Cham | Kampong Cham
CHAA012,Khvet Thum,Khvet Thum,0976561888,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA012 | Khvet Thum | Khvet Thum | 0976561888 | CHA | Kampong Cham | Kampong Cham
CHAA013,Chealea,Chealea,0977713334,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA013 | Chealea | Chealea | 0977713334 | CHA | Kampong Cham | Kampong Cham
CHAA014,Batheay,Batheay,0716363168,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA014 | Batheay | Batheay | 0716363168 | CHA | Kampong Cham | Kampong Cham
CHAA015,Soutib,Soutib,0979431314,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA015 | Soutib | Soutib | 0979431314 | CHA | Kampong Cham | Kampong Cham
CHAA016,Veal Vung,Veal Vung,0718010101,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA016 | Veal Vung | Veal Vung | 0718010101 | CHA | Kampong Cham | Kampong Cham
CHAA017,Areak Tnaot,Areak Tnaot,0973399000,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA017 | Areak Tnaot | Areak Tnaot | 0973399000 | CHA | Kampong Cham | Kampong Cham
CHAA018,Kampong Cham,Kampong Cham,0974128678,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA018 | Kampong Cham | Kampong Cham | 0974128678 | CHA | Kampong Cham | Kampong Cham
CHAA019,Roka Koy,Roka Koy,0977644227,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA019 | Roka Koy | Roka Koy | 0977644227 | CHA | Kampong Cham | Kampong Cham
CHAA020,Hanchey,Hanchey,0713333612,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA020 | Hanchey | Hanchey | 0713333612 | CHA | Kampong Cham | Kampong Cham
CHAA021,Svay Pou,Svay Pou,068536475,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA021 | Svay Pou | Svay Pou | 068536475 | CHA | Kampong Cham | Kampong Cham
CHAA022,Preak Kak,Preak Kak,0888855293,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA022 | Preak Kak | Preak Kak | 0888855293 | CHA | Kampong Cham | Kampong Cham
CHAA023,Preak Rumdeng,Preak Rumdeng,0884421662,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA023 | Preak Rumdeng | Preak Rumdeng | 0884421662 | CHA | Kampong Cham | Kampong Cham
CHAA024,Tumnob,Tumnob,090999000,CHA,Kampong Cham,Kampong Cham,Authorized Dealer/ Authorized Agent,In effect,CHAA024 | Tumnob | Tumnob | 090999000 | CHA | Kampong Cham | Kampong Cham
CHAP001,Kampong Cham,Kampong Cham,067981954,CHA,Kampong Cham,Kampong Cham,Post office,In effect,CHAP001 | Kampong Cham | Kampong Cham | 067981954 | CHA | Kampong Cham | Kampong Cham
CHAS001,Veal Vung,Veal Vung,,CHA,Kampong Cham,Kampong Cham,Post office,In effect,CHAS001 | Veal Vung | Veal Vung | CHA | Kampong Cham | Kampong Cham
CHAS002,Preak Kak,Preak Kak,,CHA,Kampong Cham,Kampong Cham,Post office,In effect,CHAS002 | Preak Kak | Preak Kak | CHA | Kampong Cham | Kampong Cham
CHAS003,Soutib,Soutib,,CHA,Kampong Cham,Kampong Cham,Post office,In effect,CHAS003 | Soutib | Soutib | CHA | Kampong Cham | Kampong Cham
CHAS004,Chrey Vien,Chrey Vien,,CHA,Kampong Cham,Kampong Cham,Post office,In effect,CHAS004 | Chrey Vien | Chrey Vien | CHA | Kampong Cham | Kampong Cham
CHAS005,Svay Teab,Svay Teab,,CHA,Kampong Cham,Kampong Cham,Post office,In effect,CHAS005 | Svay Teab | Svay Teab | CHA | Kampong Cham | Kampong Cham
CHHA001,Ou Ruessei 01,Ou Ruessei 01,0979256868,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA001 | Ou Ruessei 01 | Ou Ruessei 01 | 0979256868 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA002,Pongro,Pongro,0882356429,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA002 | Pongro | Pongro | 0882356429 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA003,Ou Ruessei 02,Ou Ruessei 02,068519717,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA003 | Ou Ruessei 02 | Ou Ruessei 02 | 068519717 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA004,Saeb,Saeb,0974989014,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA004 | Saeb | Saeb | 0974989014 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA005,Peani,Peani,0885871084,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA005 | Peani | Peani | 0885871084 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA006,Ta Ches,Ta Ches,0314443535,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA006 | Ta Ches | Ta Ches | 0314443535 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA007,Prey Kri 01,Prey Kri 01,0715975858,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA007 | Prey Kri 01 | Prey Kri 01 | 0715975858 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA008,Peam Chhkaok,Peam Chhkaok,0718431010,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA008 | Peam Chhkaok | Peam Chhkaok | 0718431010 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA009,Krang Skear,Krang Skear,0712847871,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA009 | Krang Skear | Krang Skear | 0712847871 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA010,Samraong,Samraong,0883322881,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA010 | Samraong | Samraong | 0883322881 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA011,Svay Chrum,Svay Chrum,0716555440,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA011 | Svay Chrum | Svay Chrum | 0716555440 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA012,Trangel,Trangel,0718488815,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA012 | Trangel | Trangel | 0718488815 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA013,Phsar,Phsar,0979474183,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA013 | Phsar | Phsar | 0979474183 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA014,Krang Leav,Krang Leav,0979588987,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA014 | Krang Leav | Krang Leav | 0979588987 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA015,Chrey Bak,Chrey Bak,0883444423,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA015 | Chrey Bak | Chrey Bak | 0883444423 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA016,Chieb,Chieb,090649635,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA016 | Chieb | Chieb | 090649635 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA017,Prey Kri 02,Prey Kri 02,0975686565,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA017 | Prey Kri 02 | Prey Kri 02 | 0975686565 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA018,Rolea B'ier,Rolea B'ier,067334452,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA018 | Rolea B'ier | Rolea B'ier | 067334452 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA019,Kampong Chhnang,Kampong Chhnang,0977267266,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA019 | Kampong Chhnang | Kampong Chhnang | 0977267266 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA020,Krang Lvea,Krang Lvea,0887676940,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA020 | Krang Lvea | Krang Lvea | 0887676940 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA021,Lungveaek,Lungveaek,0889988927,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA021 | Lungveaek | Lungveaek | 0889988927 | CHH | Kampong Chhnang | Kampong Chhnang
CHHA022,B'er,B'er,0314892168,CHH,Kampong Chhnang,Kampong Chhnang,Authorized Dealer/ Authorized Agent,In effect,CHHA022 | B'er | B'er | 0314892168 | CHH | Kampong Chhnang | Kampong Chhnang
CHHP001,Kampong Chhnang,Kampong Chhnang,0978887079,CHH,Kampong Chhnang,Kampong Chhnang,Post office,In effect,CHHP001 | Kampong Chhnang | Kampong Chhnang | 0978887079 | CHH | Kampong Chhnang | Kampong Chhnang
CHHS001,Kampong Chhnang,Kampong Chhnang,,CHH,Kampong Chhnang,Kampong Chhnang,Post office,In effect,CHHS001 | Kampong Chhnang | Kampong Chhnang | CHH | Kampong Chhnang | Kampong Chhnang
CHHS002,Peani,Peani,,CHH,Kampong Chhnang,Kampong Chhnang,Post office,In effect,CHHS002 | Peani | Peani | CHH | Kampong Chhnang | Kampong Chhnang
KAMTEST01,Ankor Chey,Ankor Chey,,CNCNTT,Công nghệ thông tin,Công nghệ thông tin,Post office,Out of effect,KAMTEST01 | Ankor Chey | Ankor Chey | CNCNTT | Công nghệ thông tin | Công nghệ thông tin
